date,date,text
2020/4/18 19:26,1587205615623,ImageJとOpenCV使ってる(医学系じゃないけど)
2020/4/18 19:26,1587205616638,学年ラインに貼ってあるんですか！
2020/4/18 19:26,1587205618463,奈良以前伺いましたよ〜
2020/4/18 19:27,1587205670602,やりました！
2020/4/18 19:27,1587205675578,👍
2020/4/18 19:28,1587205685643,みなさんのTwitterフォローしたい...
2020/4/18 19:28,1587205694714,分かる
2020/4/18 19:28,1587205709526,NNかぁ
2020/4/18 19:28,1587205717937,Twitterフォロバしてもらいました！
2020/4/18 19:29,1587205739576,山崎やん
2020/4/18 19:29,1587205762652,チャーリーさ〜ん！
2020/4/18 19:29,1587205769772,👍
2020/4/18 19:30,1587205804313,声が...
2020/4/18 19:30,1587205813897,皆さん、背景かっこいい
2020/4/18 19:30,1587205833545,脳波を機械学習させる時の前処理大変そう
2020/4/18 19:31,1587205872602,ジュゴン〜
2020/4/18 19:31,1587205875970,お世話になっております
2020/4/18 19:31,1587205881283,👍
2020/4/18 19:31,1587205884438,既に疲れタス...
2020/4/18 19:31,1587205885748,じゅごん？
2020/4/18 19:31,1587205887332,研究テーマが皆さん楽しそう
2020/4/18 19:31,1587205887567,やまたく
2020/4/18 19:31,1587205896368,病みタク
2020/4/18 19:31,1587205897546,新一回生3人みたいですね
2020/4/18 19:31,1587205898071,きりたんのやつ見ました！
2020/4/18 19:31,1587205919421,水色コーダー
2020/4/18 19:32,1587205926480,atcoder!
2020/4/18 19:32,1587205933023,水色コーダってマ?
2020/4/18 19:32,1587205948107,競プロ強い
2020/4/18 19:32,1587205961819,ウェットな実験って何だろう（門外漢）
2020/4/18 19:32,1587205969047,僕も柳澤研です
2020/4/18 19:33,1587206001667,www
2020/4/18 19:33,1587206013139,阪医Python会って阪大以外の人も多いんですね！
2020/4/18 19:33,1587206019258,出身高校言い忘れた
2020/4/18 19:33,1587206021102,医学生が深層学習できたら最強説
2020/4/18 19:33,1587206022784,え、灘なんですか
2020/4/18 19:33,1587206025379,同じく
2020/4/18 19:34,1587206039953,灰色だから人権ない
2020/4/18 19:34,1587206041681,自己紹介で30分はすごい
2020/4/18 19:34,1587206045534,灘が多くて震える...
2020/4/18 19:34,1587206057308,自己紹介30分だけど、楽しかった
2020/4/18 19:34,1587206060103,みえてます！
2020/4/18 19:34,1587206066285,楽しかったです！
2020/4/18 19:34,1587206070544,すでに30分ww
2020/4/18 19:34,1587206074329,ほんまや
2020/4/18 19:34,1587206086439,自転車
2020/4/18 19:34,1587206090313,いい自転車だ
2020/4/18 19:34,1587206091548,フラストレーションw
2020/4/18 19:34,1587206095864,よろしくお願いします！
2020/4/18 19:34,1587206098301,よろしくおねがいします！
2020/4/18 19:34,1587206099087,OMCCC
2020/4/18 19:35,1587206102565,笑
2020/4/18 19:35,1587206104183,色々聞けて良かったです！
2020/4/18 19:35,1587206108153,みんなの研究内容をLTで聞きたい
2020/4/18 19:35,1587206115589,分かる
2020/4/18 19:35,1587206116866,たくさんコメントしていってくださいね
2020/4/18 19:35,1587206119947,LTいいですね
2020/4/18 19:35,1587206121880,時間制限なくなってない？
2020/4/18 19:35,1587206131833,なくなってますね
2020/4/18 19:35,1587206134045,時間制限なくなってませんか？
2020/4/18 19:35,1587206148477,Wetラボの人の方が多そうですね
2020/4/18 19:35,1587206150219,入り直しいらない説？
2020/4/18 19:35,1587206155540,さっきなくなってました
2020/4/18 19:36,1587206159530,途中でアップグレードのお知らせが来ました
2020/4/18 19:36,1587206164062,zoomはが大学のメルアドで登録すると無制限になるはずですよ
2020/4/18 19:36,1587206164399,途中でなくなってましたね
2020/4/18 19:36,1587206214958,Pythonはじめて(水色コーダー)
2020/4/18 19:37,1587206220226,🐼s
2020/4/18 19:37,1587206238054,参加者のレベル層が高い
2020/4/18 19:37,1587206238445,イメージ大事
2020/4/18 19:37,1587206254193,わーい！
2020/4/18 19:37,1587206264609,🤔
2020/4/18 19:38,1587206280807,👍
2020/4/18 19:38,1587206281155,👍
2020/4/18 19:38,1587206281363,👍
2020/4/18 19:38,1587206281554,👍
2020/4/18 19:38,1587206282055,👍
2020/4/18 19:38,1587206282254,👍
2020/4/18 19:38,1587206282653,👍
2020/4/18 19:38,1587206282803,👍
2020/4/18 19:38,1587206283005,👍
2020/4/18 19:38,1587206284299,凄い(こなみ)
2020/4/18 19:38,1587206287882,べんり！
2020/4/18 19:38,1587206294514,そうなんや
2020/4/18 19:38,1587206293073,GitHubのリンク先は今後ずっと見られますか？
2020/4/18 19:38,1587206295778,すごーい！
2020/4/18 19:38,1587206299530,Matplotlibで実装できるんかな
2020/4/18 19:38,1587206318247,Colab！
2020/4/18 19:38,1587206318124,ColabはGPUが強い
2020/4/18 19:38,1587206328290,はやいし楽だ
2020/4/18 19:39,1587206341230,いつも使ってます
2020/4/18 19:39,1587206360496,さっきローカルで動かしてました
2020/4/18 19:39,1587206362466,jupyter信者です
2020/4/18 19:39,1587206376769,VScodeにJupyter突っ込んでる
2020/4/18 19:39,1587206378810,jupyterlab好きです
2020/4/18 19:40,1587206404663,jupyterlabすこです
2020/4/18 19:40,1587206404508,OK
2020/4/18 19:40,1587206418205,山田さん容量ぱんぱん
2020/4/18 19:41,1587206473781,山田さんの画面を、zoomの画面共有で見せてもらえませんでしょうか？
2020/4/18 19:41,1587206476243,出来ましたー
2020/4/18 19:41,1587206478846,できました！
2020/4/18 19:41,1587206492938,出来ましたー！
2020/4/18 19:41,1587206495440,ローカルにPythonある人はローカルでやったらいいのでは
2020/4/18 19:41,1587206508564,colaboratoryインストールからはじまっている
2020/4/18 19:42,1587206527403,みえてます
2020/4/18 19:42,1587206528467,写ってます
2020/4/18 19:42,1587206528682,見えてます
2020/4/18 19:42,1587206529439,みえてます
2020/4/18 19:42,1587206530860,されてます
2020/4/18 19:43,1587206583624,再生ボタン
2020/4/18 19:43,1587206606363,ほえー
2020/4/18 19:43,1587206617656,動的型付け
2020/4/18 19:43,1587206625119,自宅のネットが弱すぎて実行に時間がかかる...
2020/4/18 19:44,1587206647246,ネット弱いと辛いですね
2020/4/18 19:44,1587206679853,環境構築しなくて良くて楽ですよね
2020/4/18 19:45,1587206706698,回線の速さが問われる
2020/4/18 19:45,1587206754997,プログラミング初学者の方は分からなかったらコメントしてくださいね
2020/4/18 19:46,1587206763859,今までコード書いてない人は少しきつそう
2020/4/18 19:46,1587206787968,ここにコメントすれば誰かが教えてくれるはず
2020/4/18 19:46,1587206799903,うぇい
2020/4/18 19:46,1587206805481,リストのくだりわかりませんでした　satorutada
2020/4/18 19:47,1587206843745,anaconda入れてます！
2020/4/18 19:47,1587206848963,最初からツールが全部入ってるので楽!
2020/4/18 19:47,1587206850720,新入生と言いつつうまいことCNNに誘導するスタイル
2020/4/18 19:47,1587206852773,リストのどのへんがわからなかったですか？
2020/4/18 19:47,1587206853190,どこらへんがわからなかったですか？
2020/4/18 19:47,1587206855048,バリバリの初心者ですが、同時に何かするというより、みて楽しむ感じでいいんですよね
2020/4/18 19:47,1587206862568,👍
2020/4/18 19:47,1587206862684,👍
2020/4/18 19:47,1587206862818,👍
2020/4/18 19:47,1587206863069,👍
2020/4/18 19:47,1587206863218,👍
2020/4/18 19:47,1587206863319,👍
2020/4/18 19:47,1587206863371,👍
2020/4/18 19:47,1587206863470,👍
2020/4/18 19:47,1587206863670,👍
2020/4/18 19:47,1587206863772,👍
2020/4/18 19:47,1587206863977,👍
2020/4/18 19:47,1587206864070,👍
2020/4/18 19:47,1587206864422,👍
2020/4/18 19:47,1587206864617,👍
2020/4/18 19:47,1587206864716,👍
2020/4/18 19:47,1587206864876,👍
2020/4/18 19:47,1587206865020,👍
2020/4/18 19:47,1587206865171,👍
2020/4/18 19:47,1587206865420,👍
2020/4/18 19:47,1587206865520,👍
2020/4/18 19:47,1587206865730,👍
2020/4/18 19:47,1587206866077,👍
2020/4/18 19:47,1587206867532,👍
2020/4/18 19:47,1587206869057,👍
2020/4/18 19:47,1587206870321,👍
2020/4/18 19:47,1587206872117,👍
2020/4/18 19:47,1587206873052,多分それでいいと思う
2020/4/18 19:48,1587206881280,休憩ー
2020/4/18 19:48,1587206885593,👍
2020/4/18 19:48,1587206894586,質問などあれば遠慮なくどうぞ！
2020/4/18 19:48,1587206897760,乙
2020/4/18 19:48,1587206905387,print 2 で、3番めが出てくる理屈がわかりませんでした！プログラミングの基本ですかね？
2020/4/18 19:48,1587206911702,Twitterで専用のハッシュタグ作って質問するのが良さげかもしれん...
2020/4/18 19:48,1587206919536,0から数えてます
2020/4/18 19:48,1587206929441,ハッシュタグありですね
2020/4/18 19:48,1587206931431,プログラミングでは大体0スタートでかぞえます
2020/4/18 19:48,1587206933836,０を１番目とするから、2で3番目になりますね
2020/4/18 19:48,1587206933909,"0,1,2で3番目です"
2020/4/18 19:49,1587206942465,０が1番目なので２は3番目のｃなのです
2020/4/18 19:49,1587206942755,twitterでこのハッシュタグつけて呟いても反映されますよ！
2020/4/18 19:49,1587206961308,"['a', 'b', 'c', 'd', 'e', 'f', 'g'] = 0, 1, 2, 3, 4, 5, 6 "
2020/4/18 19:49,1587206966087,ここではaが０番目、bが１番目
2020/4/18 19:49,1587206970787,分かりやすい
2020/4/18 19:49,1587206975071,このコメントは質問しづらいかも
2020/4/18 19:50,1587207005124,理解しました！ありがとうございます。print -1はどういう理屈ですか？satorutada
2020/4/18 19:50,1587207033287,-n　で後ろから数えてn番目　です
2020/4/18 19:50,1587207045929,ありがとうございます！了解です
2020/4/18 19:50,1587207055941,"['a', 'b', 'c', 'd', 'e', 'f', 'g'] = -7 -6 -5 -4 -3 -2 -1"
2020/4/18 19:51,1587207076202,-1わかりにくいですよね
2020/4/18 19:51,1587207088866,一番最後を指定したいけどlistの長さ数えるのが面倒な時とか変わるときに便利です
2020/4/18 19:51,1587207095430,後ろからのときは１から数えるというジレンマ
2020/4/18 19:51,1587207105920,固定長だと強い
2020/4/18 19:52,1587207134972,なるほど！確かに、print -1便利ですね！今かなりフィジカルに理解できました。
2020/4/18 19:52,1587207143161,後ろから指定は言語によってできたりできなかったりするのでややこしい
2020/4/18 19:52,1587207176886,👍
2020/4/18 19:53,1587207181290,どの言語だとできないんですっけ(無知)
2020/4/18 19:53,1587207183370,😆
2020/4/18 19:53,1587207184837,😆
2020/4/18 19:53,1587207189668,💗
2020/4/18 19:53,1587207190033,💗
2020/4/18 19:53,1587207190417,💗
2020/4/18 19:54,1587207247519,新入生向け資料の[7]がエラーになってしまいます、、、
2020/4/18 19:54,1587207283038,どの項目だろう...
2020/4/18 19:54,1587207296759,エラー　コピペで流してみてください
2020/4/18 19:55,1587207307802,import numpyのやつです、、
2020/4/18 19:55,1587207322757,google colabで行番号表示するのってどうやるんですか
2020/4/18 19:55,1587207347457,NameError       Traceback (most recent call last)と出てきます
2020/4/18 19:56,1587207365190,import numpy as npが抜けてる。。。
2020/4/18 19:56,1587207382266,ほんまやas npついてない
2020/4/18 19:56,1587207383577,ほんとだ
2020/4/18 19:56,1587207407537,import numpy→import numpy asnp
2020/4/18 19:57,1587207421200,import numpy→import numpy as np
2020/4/18 19:57,1587207421666,スペースを！！
2020/4/18 19:57,1587207435218,"as npつけたらいけました！array([[ 8,  5],        [20, 13]])ありがとうございます！"
2020/4/18 19:57,1587207442700,の間違いです！訂正おねがいします！
2020/4/18 19:57,1587207448757,おおおおおおおお
2020/4/18 19:57,1587207454464,すばらしい
2020/4/18 19:57,1587207471092,PythonのNumpyはホンマつよい
2020/4/18 19:57,1587207474265,フォローありがとうございます＼(^^)／
2020/4/18 19:58,1587207509091,pythonファイルはcolabから保存じゃなくて普通にファイルとしてコピーしても問題ないですよね？
2020/4/18 19:59,1587207541639,C言語にはマイナスインデックス無いし、Rでマイナスインデックスを指定するとその番号の要素を除いた配列になってしまったり
2020/4/18 19:59,1587207556590,C言語ェ
2020/4/18 19:59,1587207593332,CとRは盲点だった
2020/4/18 19:59,1587207596003,笑
2020/4/18 20:00,1587207601732,ファイルとしてコピーでも大丈夫だったと思います
2020/4/18 20:00,1587207605607,Cはやったことない、、
2020/4/18 20:00,1587207638108,ありがとうございます
